kept: 8292716, deleted: 9056382 
kept: 1342551, deleted: 2477111 
kept: 1344752, deleted: 10768470 
kept: 3049409, deleted: 3449964 
kept: 11062670, deleted: 11276823 
kept: 5116175, deleted: 5895285 
kept: 9441002, deleted: 10127616 
kept: 1448644, deleted: 3722968 
kept: 4596088, deleted: 5668604 
kept: 5312832, deleted: 6105983 7119357 
kept: 1595110, deleted: 1978937 
kept: 1441174, deleted: 1448636 3041500 3879566 3879663 
kept: 1440427, deleted: 1447648 1448519 1836853 2714881 2800966 3137391 3745718 3879692 
kept: 1765269, deleted: 4798454 4768992 4917052 
kept: 4866525, deleted: 7543129 5249754 5302500 5313094 7353993 5544287 5896096 
kept: 226505, deleted: 1388181 
kept: 991767, deleted: 991768 
kept: 991781, deleted: 991783 991782 991785 991784 
kept: 991786, deleted: 991787 
kept: 8814156, deleted: 10886451 
kept: 8855852, deleted: 9173818 
kept: 8138545, deleted: 8138627 
kept: 5331562, deleted: 5332247 
kept: 214617, deleted: 215671 
kept: 219127, deleted: 991898 
kept: 570145, deleted: 2688338 
kept: 10314042, deleted: 10333404 11091682 11234444 
kept: 8806442, deleted: 9340531 
kept: 7869511, deleted: 9796613 
kept: 172110, deleted: 286460 
kept: 2981993, deleted: 4012079 
kept: 10979057, deleted: 11078161 
kept: 9480661, deleted: 10206711 
kept: 118856, deleted: 993402 
kept: 10402176, deleted: 10523153 
kept: 10716563, deleted: 10990334 
kept: 10609400, deleted: 10970255 10993299 
kept: 10081244, deleted: 10543325 10081273 
kept: 8858558, deleted: 10075931 
kept: 5303288, deleted: 5313656 
kept: 175733, deleted: 878773 
kept: 157460, deleted: 160862 
kept: 10431807, deleted: 11310071 
kept: 225503, deleted: 3077086 
kept: 8972269, deleted: 10075938 
kept: 7279117, deleted: 7627785 
kept: 8813431, deleted: 9443618 
kept: 9094105, deleted: 10193010 10213508 10519956 10824366 11152509 11190983 
kept: 9987749, deleted: 10739550 
kept: 5385276, deleted: 6892429 
kept: 2478427, deleted: 4525799 
kept: 8858857, deleted: 9960254 
kept: 575191, deleted: 1499486 1717418 
kept: 2556660, deleted: 2557089 2559419 
kept: 2556039, deleted: 2556171 2556199 2556241 
kept: 2556055, deleted: 2556155 
kept: 2556405, deleted: 2558144 2557707 2556627 2557317 2557937 2556801 2557555 2558998 2557883 2558001 
kept: 101203, deleted: 102160 
kept: 10420847, deleted: 10967983 
kept: 6709442, deleted: 7635718 
kept: 6595391, deleted: 7621060 
kept: 7643467, deleted: 7649840 
kept: 10397660, deleted: 10797448 
kept: 8975434, deleted: 10251436 
kept: 10930222, deleted: 11125940 
kept: 219022, deleted: 1395029 
kept: 219406, deleted: 891677 
kept: 8842984, deleted: 10302467 
kept: 10602663, deleted: 10703412 
kept: 1341690, deleted: 1342872 1345049 
kept: 10108820, deleted: 10231271 
kept: 8952478, deleted: 9730785 
kept: 8871032, deleted: 9175924 
kept: 215772, deleted: 658182 658324 891510 893046 
kept: 693158, deleted: 2665982 
kept: 5941581, deleted: 5941597 
kept: 890199, deleted: 890239 
kept: 10058326, deleted: 10756921 
kept: 214504, deleted: 215653 
kept: 161116, deleted: 558104 
kept: 8860055, deleted: 8935202 
kept: 8761948, deleted: 11132002 
kept: 9896868, deleted: 9900806 
